data,who_made_it,topic,assessment,wp_assessment
"Economists have said that that Trump sales tax would actually result, for middle-class families, in about $4,000 more a year",Kamala Harris,Economy,Exaggerated,May be a high estimate
"I have no sales tax. That’s an incorrect statement. She knows that we’re doing tariffs on other countries. Other countries are going to finally, after 75 years, pay us back for all that we’ve done for the world, and the tariff will be substantial in some cases",Donald Trump,Economy,False,Flat wrong
"I had tariffs, and yet I had no inflation (…) I had no inflation, virtually no inflation. They had the highest inflation perhaps in the history of our country because I’ve never seen a worse period of time",Donald Trump,Economy,False,Flat wrong
"We have inflation like very few people have ever seen before, probably the worst in our nation's history",Donald Trump,Economy,False,False
"We have millions of people pouring into our country from prisons and jails, from mental institutions and insane asylums",Donald Trump,Immigration,False,Poppyrock
"You look at Springfield, Ohio, you look at Aurora in Colorado. They are taking over the towns. They’re taking over buildings. They’re going in violently (…) They’re at the highest level of criminality, and we have to get them out",Donald Trump,Immigration,False,Channeling right-wing social media sensations
"A lot of towns don’t want to talk about it because they’re so embarrassed by it. In Springfield, they’re eating the dogs. The people that came in, they’re eating the cats. They’re eating, they’re eating the pets of the people that live there",Donald Trump,Immigration,False,Channeling right-wing social media sensations
I created one of the greatest economies in the history of our country. (…) We had the greatest economy,Donald Trump,Economy,False,False
"What you’re going to hear tonight is a detailed and dangerous plan called Project 2025, that the former president intends on implementing if he were elected",Kamala Harris,Project 2025,Needs context,Not an official campaign document
"I have nothing to do as you know, and as she knows better than anyone, I have nothing to do with Project 2025 that’s out there",Donald Trump,Project 2025,Needs context,Not an official campaign document
We handed them over a country where the economy and where the stock market was higher than it was before the pandemic came in,Donald Trump,Economy,Partially true,"Right on stocks, wrong on economy"
"What Goldman Sachs has said is that Donald Trump’s plan would make the economy worse. Mine would strengthen the economy. What the Wharton School has said is Donald Trump’s plan would actually explode the deficit. Sixteen Nobel laureates have described his economic plan as something that would increase inflation and, by the middle of next year, would invite a recession",Kamala Harris,Economy,Mostly true,Correct
"I went to the Wharton School of finance, and many of those professors, the top professors, think my plan is a brilliant plan",Donald Trump,Economy,Unverifiable,Couldn’t identify any (source)
"She’s a Marxist. Everybody knows she’s a Marxist. Her father’s a Marxist professor in economics, and he taught her well",Donald Trump,Personal attack,False,A ridiculous slur
"When you look at these millions and millions of people that are pouring into our country monthly, where it’s, I believe, 21 million people, not the 15 that people say, and I think it’s a lot higher than the 21 that’s bigger than New York state pouring in",Donald Trump,Immigration,False,False
"And you can look at the governor of West Virginia, the previous governor of West Virginia, not the current governor, is doing an excellent job. But the governor before he said, the baby will be born and we will decide what to do with the baby. In other words, will execute the baby. And that’s why I did that, because that predominates, because they’re radical",Donald Trump,Abortion,False,False
"Just look at the governor, former governor of Virginia, the governor of Virginia said, we put the baby aside and then we determine what we want to do with the baby",Donald Trump,Abortion,False,False
"Her vice-presidential pick says abortion in the ninth month is absolutely fine. He also says, ‘execution after birth’ — execution, no longer abortion because the baby is born — is okay",Donald Trump,Abortion,False,False
"Every legal scholar, every Democrat, every Republican, liberal, conservative, they all wanted this issue [abortion] to be brought back to the states where the people could vote",Donald Trump,Abortion,False,Absurd
"I have been a leader on fertilization, IVF [in vitro fertilization]",Donald Trump,Other,Needs context,In conflict
"Understanding his Project 2025, there would be a national abortion, a monitor that would be monitoring your pregnancies, your miscarriages",Kamala Harris,Project 2025,Needs context,Not exactly what it says
"They allowed terrorists. They allowed common street criminals. They allowed people to come in, drug dealers to come into our country. And they’re now in the United States and told by their countries like Venezuela, don’t ever come back, or we’re going to kill you. Do you know that crime in Venezuela and crime in countries all over the world is way down?",Donald Trump,Immigration,False,False
Crime is down all over the world except here. Crime here is up and through the roof. Despite their fraudulent statements that they made. Crime in this country is through the roof. And we have a new form of crime,Donald Trump,Crime,False,False
"The FBI defraud. They were defrauding statements. They, they didn’t include the worst cities. They didn’t include the cities with the worst crime",Donald Trump,Crime,False,False
"It [the crime data] was a fraud. Just like their number of 818,000 jobs that they said they created turned out to be a fraud",Donald Trump,Economy,False,False
"The former vice president [sic] called for defunding federal law enforcement. 45,000 agents, get this, on the day after he was arraigned on 34 felony counts",Kamala Harris,Domestic issues,Mostly true,Correct
They weaponized the Justice Department. (…) They used it to try and win an election. … They have fake cases,Donald Trump,Other,False,False
Joe Biden was found essentially guilty on the documents case,Donald Trump,Other,False,False
"Let’s talk about fracking because we’re here in Pennsylvania. I made that very clear in 2020, I will not ban fracking. I have not banned fracking as vice president of the United States. And in fact, I was the tiebreaking vote on the Inflation Reduction Act, which opened new leases for fracking",Kamala Harris,Economy,Partially true,Spin
"The values I bring to the importance of homeownership, knowing not everybody got handed $400 million on a silver platter and then filed bankruptcy six times",Kamala Harris,Personal attack,Needs context,It depends on inflation
"I wasn’t given $400 million. I wish I was. My father was a Brooklyn builder, a Brooklyn, Queens, and a great father, and I learned a lot from him. But I was given a fraction of that, a tiny fraction, and have built it into many, many billions of dollars, many, many billions",Donald Trump,Other,Needs context,It depends on inflation
Defund the police. She’s been against that forever,Donald Trump,Domestic issues,True,Got this right
She went out in Minnesota and wanted to let criminals that killed people that burned down Minneapolis. She went out and raised money to get them out of jail,Donald Trump,Crime,Needs context,Needs context
"If she won the election, the day after that election, they’ll go back to destroying our country, and oil will be dead, fossil fuel will be dead. We’ll go back to windmills, and we’ll go back to solar, where they need a whole desert to get some energy to come out",Donald Trump,Economy,False,False
"When are those people going to be prosecuted? When are the people that burned down Minneapolis going to be prosecuted, or in Seattle, they went into Seattle, they took over a big percentage of the city of Seattle",Donald Trump,Crime,False,False
